3xMaster,60,34,3.4342
2018scarface,29,11,1.9838
Alenstarl,49,50,0.6202
Aggiediehard10,9,0,0.5769
32Trades,21,10,0.4546
200pips,85,104,0.3747
AApLphoLIFE,8,6,0.1741
ASMR,2,2,0.1653
Ath4c,16,11,0.1392
50pesos,17,13,0.1351
1Twit2twiT3,22,14,0.1317
Alysemichael1,21,18,0.0577
Ares77manoe,1,1,0.0025
AxeCapital,0,0,0.0
AUPHSTOCK,5,3,-0.0056
3dspline,4,3,-0.0096
Arossc,11,17,-0.0475
311jewell,4,5,-0.0485
1000WATTS,3,4,-0.1026
1Bulln1Bear,2,4,-0.1501
Acecat,13,14,-0.2758
10diamonds,65,79,-0.4426
ASM,20,50,-0.4599
Auratone,2,14,-0.5362
4ProfitS,88,112,-1.6697
RudyPicks13,26,25,-2.7856
ATKTNC,2,11,-5.1972
ACInvestorBlog,162,212,-11.6146
